33	2
0.59274	-0.7405	0.0	
-0.17339	0.69956	1.0	
-0.28283	0.47295	1.0	
-0.69758	0.041667	0.0	
0.13767	0.57529	1.0	
0.46601	-0.53582	1.0	
0.82316	0.27558	0.0	
0.96141	0.085526	0.0	
-0.4038	0.70687	0.0	
-0.62846	0.33406	1.0	
0.89804	-0.20687	0.0	
0.82892	-0.5212	0.0	
0.86348	-0.082602	0.0	
-0.17339	0.64839	1.0	
1.0709	0.10015	0.0	
-0.21371	0.69225	1.0	
0.54666	0.48757	1.0	
-0.23675	-0.63816	0.0	
0.44297	0.67032	1.0	
-0.60541	0.59722	1.0	
0.60426	0.59722	0.0	
0.10311	0.77997	0.0	
0.38537	-0.56506	1.0	
0.63882	0.88962	0.0	
0.92684	0.3633	0.0	
-0.13882	-0.27266	1.0	
-0.092742	0.55336	1.0	
0.22408	0.77997	0.0	
-0.23675	-0.21418	1.0	
0.57546	0.26827	1.0	
-0.52477	0.2098	1.0	
0.062788	-0.16301	1.0	
0.61578	0.7288	0.0	
