Test1	x1^2.x2^2	x2^2	x1^2	Test2	Value
-0.30588000000000004	0.000819042596703542	0.008753955328355541	0.09356257440000003	-0.19225	1.0
-0.39804	0.003977043171943494	0.025101915903500294	0.15843584160000002	0.034357	1.0
0.9383600000000001	0.6826795908342482	0.7753145715654448	0.8805194896000001	0.012426999999999999	0.0
0.016705	2.173095837105942e-11	7.787282320185064e-08	0.00027905702500000004	-0.40424	1.0
0.46025	0.0095052333489799	0.044871975378753905	0.2118300625	0.012426999999999999	1.0
0.76555	0.2012988829793731	0.34347429699257387	0.5860668024999999	0.5021899999999999	0.0
0.63265	0.06411816344737567	0.16019687852707057	0.4002460225000001	-0.030612	0.0
-0.8300700000000001	0.32710584796179487	0.474743330614799	0.6890162049000002	0.31213	0.0
0.73675	0.15992665994374522	0.2946324506503164	0.5428005625	-0.18494000000000002	1.0
0.322	0.0011146415555175046	0.010750371856000003	0.10368400000000001	0.5826	1.0
-0.046659	1.0318404768781832e-08	4.739600175352922e-06	0.0021770622809999998	-0.57968	0.0
0.6733899999999999	0.09323950867618463	0.20562061364223522	0.45345409209999993	-0.53582	1.0
-0.30012	0.0007307513505333999	0.008112967778073807	0.0900720144	0.027047	1.0
-0.50749	0.017083031191096696	0.06632999367671923	0.2575461001	0.9042399999999999	0.0
0.85196	0.3823976628297622	0.5268376689511803	0.7258358416	-0.36769	0.0
0.6388199999999999	0.06796276301162517	0.16653825807801678	0.4080909923999999	-0.24341999999999997	1.0
-0.46717	0.010395602787358658	0.04763210608965091	0.21824780889999998	-0.13377	0.0
-0.29435	0.000650405553583441	0.0075068227344960055	0.0866419225	0.7799699999999999	1.0
0.2932	0.0006353072271338236	0.007390194419737602	0.08596624000000001	-0.2288	1.0
-0.5938899999999999	0.04387691410945328	0.1244010512917712	0.3527053320999999	0.49488000000000004	0.0
-0.20795	8.086368867413398e-05	0.0018699745624560064	0.0432432025	0.35599000000000003	1.0
0.6273	0.06093288275454286	0.15484641325798407	0.39350528999999995	0.15863	1.0
-0.42108	0.005574265954862572	0.03143825679543665	0.1773083664	-0.27266	1.0
0.22408000000000003	0.00012659558934201184	0.002521229518897194	0.05021184640000001	0.52412	1.0
-0.0063364	6.472253391934268e-14	1.6120196862892277e-09	4.014996496e-05	0.9992700000000001	0.0
0.16647	2.1282168492121657e-05	0.0007679694041896689	0.0277122609	0.53874	1.0
-0.47868999999999995	0.012031676048805848	0.05250702594325026	0.22914411609999996	0.63377	1.0
-0.43836	0.007095540929573253	0.03692526944333251	0.1921594896	0.21711	1.0
-0.046659	1.0318404768781832e-08	4.739600175352922e-06	0.0021770622809999998	0.81652	1.0
-0.36348	0.002306126446532119	0.017455089401338268	0.1321177104	0.31213	1.0
0.18375999999999998	3.8504003941104065e-05	0.0011402601026224532	0.03376773759999999	0.93348	0.0
0.79435	0.25122994268707766	0.398150806260246	0.6309919225	-0.55775	0.0
-0.6111800000000001	0.05212124785402988	0.1395328730031769	0.37354099240000005	-0.067982	0.0
-0.0063364	6.472253391934268e-14	1.6120196862892277e-09	4.014996496e-05	0.39985	1.0
-0.09274199999999999	6.36295341794722e-07	7.397855246410027e-05	0.008601078563999998	0.68494	1.0
0.28744000000000003	0.0005640053520497987	0.0068263541679391155	0.08262175360000001	-0.76974	0.0
0.35081	0.0018639393967617487	0.015145647977947868	0.1230676561	-0.57968	0.0
-0.26555	0.00035065322259314615	0.004972619434824007	0.0705168025	0.96272	1.0
0.64459	0.07173009106391313	0.1726371488050271	0.4154962681	-0.14107999999999998	1.0
0.28744000000000003	0.0005640053520497987	0.0068263541679391155	0.08262175360000001	1.087	0.0
0.057027999999999995	3.439765573448484e-08	1.0576757904301667e-05	0.0032521927839999996	0.91886	0.0
-0.69758	0.11522961845306996	0.23679693816733102	0.4866178564	0.68494	0.0
0.6733899999999999	0.09323950867618463	0.20562061364223522	0.45345409209999993	0.64108	0.0
-0.54781	0.027025873207082617	0.0900574868368928	0.30009579610000003	0.70687	0.0
-0.16187	1.798863460693568e-05	0.0006865394011582298	0.026201896900000004	0.8019	1.0
0.48328999999999994	0.012742271493169588	0.05455458244667599	0.23356922409999994	-0.18494000000000002	1.0
0.13191	5.268249347481116e-06	0.0003027686339415537	0.0174002481	-0.51389	1.0
-0.48445	0.012926881314830944	0.055080242160699004	0.2346918025	0.9992700000000001	0.0
0.22984000000000002	0.00014741907366523928	0.002790631241672336	0.052826425600000004	-0.41155	1.0
-0.13305999999999998	5.54989944709624e-06	0.00031346573607732477	0.017704963599999995	-0.4481	0.0
-0.59965	0.046492941954861026	0.12929786449711503	0.35958012250000004	-0.41886	0.0
-0.72638	0.146886968362165	0.2783912055015356	0.5276279044000001	-0.082602	0.0
-0.5938899999999999	0.04387691410945328	0.1244010512917712	0.3527053320999999	0.005117	1.0
-0.39228	0.0036439885171776444	0.02368016185653249	0.15388359840000002	-0.25804	0.0
-0.21946999999999997	0.00011175088775294369	0.0023200676824271433	0.048167080899999985	-0.016812999999999998	1.0
-0.49021000000000003	0.013876917238330573	0.05774689870861352	0.24030584410000003	-0.3019	0.0
-0.7206199999999999	0.1400354101898993	0.26966541136429234	0.5192931843999999	0.53874	0.0
0.51786	0.019287422853197133	0.0719199650992972	0.2681789796	-0.5943	0.0
-0.081221	2.870846642312568e-07	4.3518441018402406e-05	0.006596850841	1.1089	0.0
0.72523	0.14549717645719643	0.27663239936866213	0.5259585529	0.44371000000000005	1.0
0.20104	6.60229390816164e-05	0.0016335404850610588	0.0404170816	-0.6016100000000001	1.0
-0.6630199999999999	0.08494929413909139	0.19324422155574678	0.43959552039999994	-0.21418	0.0
0.322	0.0011146415555175046	0.010750371856000003	0.10368400000000001	0.69225	1.0
-0.11578	2.4088029334172663e-06	0.0001796942502040705	0.013405008399999998	-0.39693	1.0
-0.74366	0.16914008077138223	0.30584239724537426	0.5530301956	-0.25804	0.0
-0.7551800000000001	0.18548247323363382	0.32523847704547376	0.5702968324000001	0.2902	0.0
-0.20795	8.086368867413398e-05	0.0018699745624560064	0.0432432025	0.17325	1.0
0.39689	0.003908597407525816	0.02481307718117992	0.1575216721	0.82383	0.0
-0.06394	6.833383451735787e-08	1.6714389858316958e-05	0.0040883236	-0.18494000000000002	1.0
0.29896	0.0007139676085505605	0.00798826271533306	0.0893770816	0.61915	0.0
0.82316	0.31110396842680743	0.4591314410230991	0.6775923856	0.66301	0.0
-0.28859	0.0005776804483707176	0.006936255987476182	0.0832841881	-0.060673000000000005	0.0
0.46601000000000004	0.010241685071393811	0.04716077625413548	0.21716532010000003	-0.41886	0.0
-0.10425999999999999	1.2844178235857562e-06	0.00011816010884578572	0.010870147599999998	0.9919600000000001	0.0
-0.40956	0.004719600146710577	0.028136504165295714	0.16773939359999998	-0.41155	0.0
-0.13882	7.156690572245484e-06	0.00037137114808085775	0.0192709924	0.54605	1.0
0.085829	3.99764583020332e-07	5.4267049575398454e-05	0.007366617241	-0.75512	0.0
